domain,llm,generated.total,generated.existing,generated.existing.fraction,generated.existing.exact,generated.existing.exact.fraction
books,gemini,10646,6970,0.6547059928611685,6170,0.5795603982716513
books,gpt-3-5,6592,3919,0.5945084951456311,3627,0.5502123786407767
books,gpt-4o-mini,10131,5395,0.5325239364327312,4908,0.4844536570920936
books,llama-3-2,11480,4244,0.3696864111498258,3834,0.33397212543554006
games,gemini,32804,27679,0.8437690525545665,23842,0.7268016095598098
games,gpt-3-5,21962,17517,0.7976049540114744,15104,0.6877333576177033
games,gpt-4o-mini,30585,22025,0.7201242439104136,17416,0.5694294588850743
games,llama-3-2,34350,19204,0.5590684133915576,5055,0.14716157205240174
movies,gemini,44421,40287,0.9069359086918349,37048,0.8340199455212625
movies,gpt-3-5,33717,29958,0.8885132129192989,21145,0.6271317139721803
movies,gpt-4o-mini,42280,35937,0.8499763481551561,31448,0.7438032166508988
movies,llama-3-2,46815,11508,0.24581864786927268,9900,0.21147068247356615
