domain,llm,real.rank.min,real.rank.q1,real.rank.median,real.rank.q3,real.rank.max,real.rank.avg,real.rank.std,artifact.rank.min,artifact.rank.q1,artifact.rank.median,artifact.rank.q3,artifact.rank.max,artifact.rank.avg,artifact.rank.std,mwu.two_sided.statistic,mwu.two_sided.pvalue,mwu.greater.statistic,mwu.greater.pvalue,mwu.less.statistic,mwu.less.pvalue
books,gemini,0,5.0,10.0,14.0,20,9.406312769010043,5.327998138716273,0,3.0,8.0,13.0,20,8.25353645266594,5.750188151014382,14369535.5,4.1132347142160857e-25,14369535.5,2.0566173571080428e-25,14369535.5,1.0
books,gpt-3-5,0,2.0,6.0,12.0,20,7.158713957642256,5.643289464323449,0,2.0,6.0,11.0,20,7.2046389824167605,5.703454315133096,5217407.5,0.7882353214267322,5217407.5,0.60588742203282,5217407.5,0.3941176607133661
books,gpt-4o-mini,0,5.0,10.0,14.0,19,9.460426320667285,5.56032384858159,0,4.0,9.0,14.0,20,8.830025337837839,5.600512962090811,13607529.0,1.4021927496179987e-08,13607529.0,7.0109637480899935e-09,13607529.0,0.9999999929893154
books,llama-3-2,0,4.0,9.0,14.0,66,9.311498586239397,6.660372047616764,0,5.0,11.0,16.0,99,11.408651188501935,9.029974487955283,13136238.0,2.175522368921247e-38,13136238.0,1.0,13136238.0,1.0877611844606236e-38
games,gemini,0,5.0,9.0,14.0,19,9.34387080458109,5.6217432501396,0,4.0,9.0,14.0,20,8.819512195121952,5.75767650936006,74739147.0,8.857530658364631e-10,74739147.0,4.4287653291823155e-10,74739147.0,0.9999999995571279
games,gpt-3-5,0,3.0,6.0,12.0,20,7.509847576639835,5.6785580107963325,0,3.0,7.0,13.0,20,7.90888638920135,5.785675243000059,37425683.5,6.442023598126552e-05,37425683.5,0.9999677902428641,37425683.5,3.221011799063276e-05
games,gpt-4o-mini,0,4.0,9.0,14.0,20,9.017480136208853,5.559486458075804,0,5.0,9.0,14.0,19,9.380841121495328,5.583650804076167,90735356.0,3.372342793711054e-07,90735356.0,0.9999998313841474,90735356.0,1.686171396855527e-07
games,llama-3-2,0,4.0,9.0,14.0,32,9.46653583970254,6.104252123732381,0,5.0,11.0,16.0,37,10.544441478713466,6.223627943046324,130472193.0,4.8110422366927984e-58,130472193.0,1.0,130472193.0,2.4055211183463992e-58
movies,gemini,0,4.0,9.0,14.0,21,9.272693424677936,5.606560376049773,0,4.0,8.0,13.0,20,8.544750846637639,5.64934932725252,89519231.0,1.6524383550353039e-15,89519231.0,8.262191775176519e-16,89519231.0,0.9999999999999992
movies,gpt-3-5,0,3.0,7.0,13.0,20,8.033046264770679,5.717570258433216,0,3.0,7.0,13.0,20,8.173982442138866,5.785337427680937,55578654.0,0.19527911896005834,55578654.0,0.9023607475732497,55578654.0,0.09763955948002917
movies,gpt-4o-mini,0,4.0,9.0,14.0,20,9.22191613100704,5.596095227448737,0,4.0,9.0,14.0,20,8.977297808607915,5.653435443749115,116841149.5,0.001359017427366732,116841149.5,0.000679508713683366,116841149.5,0.9993204939227376
movies,llama-3-2,0,4.0,9.0,14.0,34,9.3404471889526,6.103402062862238,0,6.0,11.0,16.0,32,10.734863337561988,6.160806423469152,222111498.5,2.6421634778952014e-124,222111498.5,1.0,222111498.5,1.3210817389476007e-124
