domain,llm,confidence.average,confidence.std,confidence.min,confidence.q1,confidence.median,confidence.q3,confidence.max,confidence.noscore
books,gemini,0.2163648318617321,0.18283454971969892,0.0,0.1,0.1,0.3,1.0,0
books,gpt-3-5,0.35485512742718445,0.24869023915216093,0.0,0.1,0.3,0.6,0.9,0
books,gpt-4o-mini,0.38314332247557004,0.20126682146283226,0.0,0.25,0.4,0.52,0.95,0
books,llama-3-2,0.2590301776765376,0.23548801705076516,0.0,0.1,0.2,0.4,1.0,505
games,gemini,0.22580147542982562,0.20836219505561113,0.0,0.1,0.1,0.3,1.0,0
games,gpt-3-5,0.36327577178763315,0.2583595109039305,0.0,0.1,0.3,0.6,1.0,0
games,gpt-4o-mini,0.3933917336995618,0.2127899611285007,0.0,0.2,0.4,0.55,1.0,3
games,llama-3-2,0.27829739558489075,0.23722068098442103,0.0,0.1,0.2,0.4,1.0,640
movies,gemini,0.20684927999144548,0.18838271624694722,0.0,0.1,0.1,0.3,1.0,0
movies,gpt-3-5,0.3356990894800843,0.25500173892148964,0.0,0.1,0.3,0.5,1.0,0
movies,gpt-4o-mini,0.3822363503028009,0.21239486821507325,0.0,0.2,0.38,0.55,1.0,8
movies,llama-3-2,0.2536646281741088,0.2417162584128618,0.0,0.05,0.2,0.4,1.0,874
