domain,llm,pearsonr.statistic,pearsonr.pvalue,spearmanr.statistic,spearmanr.pvalue,kendalltau.statistic,kendalltau.pvalue
books,gemini,0.03373458942685155,0.0004989888085755923,0.03652490181879733,0.00016361775410306994,0.027256503150989007,0.0001731394303360755
books,gpt-3-5,0.01159242060352152,0.3466767335112016,0.032413934442832304,0.008490472690551984,0.02447308100493285,0.00874470921966147
books,gpt-4o-mini,0.017595784564337448,0.07656323683895333,0.0377980534757303,0.00014159074572726434,0.028813458079480103,0.00014307124466840466
books,llama-3-2,-0.05488987063493061,3.981542573746244e-09,-0.10952509928697785,5.626716235432385e-32,-0.08522550006392039,6.549846158498347e-32
games,gemini,0.08440191252868125,6.211425507093361e-53,0.11503382614854361,4.985340873278999e-97,0.08047217513427249,1.6547131340997733e-96
games,gpt-3-5,-0.030375187874432916,6.723518505347682e-06,-0.0487834959157589,4.710316747357152e-13,-0.035333947773505146,4.2730008477738894e-13
games,gpt-4o-mini,0.03166265982001511,3.0505946420230076e-08,0.016156503842210783,0.004719067607084615,0.011809585589849987,0.004443249660853007
games,llama-3-2,-0.077082645771012,1.97649031889213e-46,-0.09688020459738098,2.0480876602702056e-72,-0.07179188737232997,2.0264184503046474e-72
movies,gemini,0.09993046013810428,5.9265459003004994e-99,0.11807819671163303,1.1953519013191434e-137,0.0815272454046977,2.592256078777026e-138
movies,gpt-3-5,-0.0382171666041138,2.2216594032102036e-12,-0.0430657459989748,2.5493842452799427e-15,-0.029675614897281176,2.397731387580014e-15
movies,gpt-4o-mini,0.035058943751079284,5.560005267484659e-13,0.046733981386284394,6.947468399988112e-22,0.03227798666322689,6.80481619241794e-22
movies,llama-3-2,-0.0586505839891845,1.1643805027776513e-25,-0.060145921640060857,6.659082041612597e-27,-0.041448610963706035,3.1251924322247713e-27
