domain,llm,results.duplicates,results.duplicates.fraction,duplicates.average
books,gemini,136,0.24113475177304963,0.9536541889483066
books,gpt-3-5,26,0.04609929078014184,0.10307414104882459
books,gpt-4o-mini,16,0.028368794326241134,0.030476190476190476
books,llama-3-2,232,0.41134751773049644,2.4414893617021276
games,gemini,65,0.03855278766310795,0.09566250742721331
games,gpt-3-5,91,0.05397390272835113,0.10990990990990991
games,gpt-4o-mini,33,0.019572953736654804,0.02445141065830721
games,llama-3-2,446,0.26453143534994067,1.0991097922848665
movies,gemini,474,0.20334620334620335,0.6490845684394071
movies,gpt-3-5,330,0.14157014157014158,0.3164282618118769
movies,gpt-4o-mini,138,0.059202059202059204,0.07263590680676107
movies,llama-3-2,867,0.37194337194337196,1.9583512237011593
