domain,data.set,model,threads.answered,threads.answered.fraction,results.length.min,results.length.q1,results.length.median,results.length.q3,results.length.max
books,extra,gemini,114,1.0,17,17.0,17.0,17.0,21
books,extra,gpt-4o-mini,114,1.0,10,15.5825,17.0,17.0,21
books,jdoc,gemini,74,1.0,17,17.0,17.09,17.635,21
books,jdoc,gpt-4o-mini,74,1.0,10,14.08,18.0,18.0,20
games,extra,gemini,449,1.0,17,17.0,17.715,18.0,21
games,extra,gpt-4o-mini,449,1.0,5,10.0,10.0,10.0,21
games,jdoc,gemini,113,1.0,15,16.69,17.0,17.0,20
games,jdoc,gpt-4o-mini,113,1.0,10,10.0,10.0,10.0,21
movies,extra,gemini,707,1.0,2,17.0,18.0,18.0,22
movies,extra,gpt-4o-mini,707,1.0,10,10.0,10.0,10.0,21
movies,jdoc,gemini,70,1.0,17,17.515,18.0,18.0,20
movies,jdoc,gpt-4o-mini,70,1.0,10,10.0,10.0,13.28,21
