domain,data.set,llm,recall.1,recall.2,recall.3,recall.4,recall.5,recall.6,recall.7,recall.8,recall.9,recall.10,recall.11,recall.12,recall.13,recall.14,recall.15,recall.16,recall.17,recall.18,recall.19,recall.20,recall.1.fraction,recall.2.fraction,recall.3.fraction,recall.4.fraction,recall.5.fraction,recall.6.fraction,recall.7.fraction,recall.8.fraction,recall.9.fraction,recall.10.fraction,recall.11.fraction,recall.12.fraction,recall.13.fraction,recall.14.fraction,recall.15.fraction,recall.16.fraction,recall.17.fraction,recall.18.fraction,recall.19.fraction,recall.20.fraction
books,extra,gemini,17,28,34,37,40,41,42,42,42,43,43,43,43,43,43,43,43,43,43,43,0.049707602339181284,0.08187134502923976,0.09941520467836257,0.10818713450292397,0.11695906432748537,0.11988304093567251,0.12280701754385964,0.12280701754385964,0.12280701754385964,0.12573099415204678,0.12573099415204678,0.12573099415204678,0.12573099415204678,0.12573099415204678,0.12573099415204678,0.12573099415204678,0.12573099415204678,0.12573099415204678,0.12573099415204678,0.12573099415204678
books,extra,gpt-3-5,46,56,64,72,76,80,81,82,83,84,85,85,85,85,85,85,85,85,86,86,0.13450292397660818,0.16374269005847952,0.1871345029239766,0.21052631578947367,0.2222222222222222,0.23391812865497075,0.23684210526315788,0.23976608187134502,0.24269005847953215,0.24561403508771928,0.24853801169590642,0.24853801169590642,0.24853801169590642,0.24853801169590642,0.24853801169590642,0.24853801169590642,0.24853801169590642,0.24853801169590642,0.25146198830409355,0.25146198830409355
books,extra,gpt-4o-mini,29,40,46,46,48,48,50,50,51,52,55,56,56,56,56,56,56,57,57,57,0.0847953216374269,0.11695906432748537,0.13450292397660818,0.13450292397660818,0.14035087719298245,0.14035087719298245,0.14619883040935672,0.14619883040935672,0.14912280701754385,0.15204678362573099,0.1608187134502924,0.16374269005847952,0.16374269005847952,0.16374269005847952,0.16374269005847952,0.16374269005847952,0.16374269005847952,0.16666666666666666,0.16666666666666666,0.16666666666666666
books,extra,llama-3-2,11,18,21,21,21,23,23,23,25,25,27,27,28,28,28,28,28,28,28,28,0.03216374269005848,0.05263157894736842,0.06140350877192982,0.06140350877192982,0.06140350877192982,0.06725146198830409,0.06725146198830409,0.06725146198830409,0.07309941520467836,0.07309941520467836,0.07894736842105263,0.07894736842105263,0.08187134502923976,0.08187134502923976,0.08187134502923976,0.08187134502923976,0.08187134502923976,0.08187134502923976,0.08187134502923976,0.08187134502923976
books,jdoc,gemini,3,8,11,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,0.013513513513513514,0.036036036036036036,0.04954954954954955,0.05855855855855856,0.05855855855855856,0.05855855855855856,0.05855855855855856,0.05855855855855856,0.05855855855855856,0.05855855855855856,0.05855855855855856,0.05855855855855856,0.06306306306306306,0.06306306306306306,0.06306306306306306,0.06306306306306306,0.06306306306306306,0.06306306306306306,0.06306306306306306,0.06306306306306306
books,jdoc,gpt-3-5,15,18,23,24,26,26,26,26,26,26,27,28,29,29,30,30,30,30,30,30,0.06756756756756757,0.08108108108108109,0.1036036036036036,0.10810810810810811,0.11711711711711711,0.11711711711711711,0.11711711711711711,0.11711711711711711,0.11711711711711711,0.11711711711711711,0.12162162162162163,0.12612612612612611,0.13063063063063063,0.13063063063063063,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514
books,jdoc,gpt-4o-mini,2,3,3,6,6,6,6,6,6,7,8,8,9,9,9,9,9,10,11,11,0.009009009009009009,0.013513513513513514,0.013513513513513514,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.03153153153153153,0.036036036036036036,0.036036036036036036,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.04504504504504504,0.04954954954954955,0.04954954954954955
books,jdoc,llama-3-2,1,2,6,8,10,12,14,14,15,15,16,16,17,19,20,21,22,23,23,23,0.0045045045045045045,0.009009009009009009,0.02702702702702703,0.036036036036036036,0.04504504504504504,0.05405405405405406,0.06306306306306306,0.06306306306306306,0.06756756756756757,0.06756756756756757,0.07207207207207207,0.07207207207207207,0.07657657657657657,0.08558558558558559,0.09009009009009009,0.0945945945945946,0.0990990990990991,0.1036036036036036,0.1036036036036036,0.1036036036036036
games,extra,gemini,36,57,65,74,81,84,89,91,93,93,94,95,97,98,98,98,98,100,103,105,0.026726057906458798,0.042316258351893093,0.04825538233110616,0.05493689680772086,0.060133630289532294,0.062360801781737196,0.06607275426874536,0.06755753526354863,0.06904231625835189,0.06904231625835189,0.06978470675575353,0.07052709725315516,0.07201187824795843,0.07275426874536006,0.07275426874536006,0.07275426874536006,0.07275426874536006,0.07423904974016332,0.07646622123236822,0.0779510022271715
games,extra,gpt-3-5,122,164,185,211,227,235,246,251,257,258,259,261,263,264,265,266,268,269,269,269,0.09057164068299926,0.12175204157386786,0.13734224201930215,0.15664439495174462,0.16852264291017074,0.1744617668893838,0.18262806236080179,0.18634001484780996,0.19079435783221974,0.1915367483296214,0.19227913882702302,0.19376391982182628,0.19524870081662954,0.19599109131403117,0.19673348181143283,0.19747587230883445,0.1989606533036377,0.19970304380103934,0.19970304380103934,0.19970304380103934
games,extra,gpt-4o-mini,67,96,108,120,124,134,143,149,156,157,160,163,165,166,170,173,173,176,177,177,0.04974016332590943,0.07126948775055679,0.0801781737193764,0.08908685968819599,0.09205642167780252,0.09948032665181886,0.10616184112843356,0.11061618411284335,0.11581291759465479,0.11655530809205643,0.11878247958426132,0.12100965107646622,0.12249443207126949,0.12323682256867112,0.12620638455827765,0.12843355605048257,0.12843355605048257,0.13066072754268745,0.13140311804008908,0.13140311804008908
games,extra,llama-3-2,9,9,13,14,15,15,17,21,22,24,26,28,28,30,34,37,37,37,39,39,0.0066815144766146995,0.0066815144766146995,0.009651076466221232,0.010393466963622866,0.011135857461024499,0.011135857461024499,0.012620638455827766,0.015590200445434299,0.016332590942835932,0.017817371937639197,0.019302152932442463,0.020786933927245732,0.020786933927245732,0.022271714922048998,0.025241276911655532,0.02746844840386043,0.02746844840386043,0.02746844840386043,0.028953229398663696,0.028953229398663696
games,jdoc,gemini,5,6,10,11,12,12,15,16,17,17,17,18,18,18,19,19,20,20,20,20,0.014749262536873156,0.017699115044247787,0.029498525073746312,0.032448377581120944,0.035398230088495575,0.035398230088495575,0.04424778761061947,0.0471976401179941,0.05014749262536873,0.05014749262536873,0.05014749262536873,0.05309734513274336,0.05309734513274336,0.05309734513274336,0.05604719764011799,0.05604719764011799,0.058997050147492625,0.058997050147492625,0.058997050147492625,0.058997050147492625
games,jdoc,gpt-3-5,17,25,28,35,37,41,41,43,44,44,44,44,44,47,47,48,50,51,51,51,0.05014749262536873,0.07374631268436578,0.08259587020648967,0.10324483775811209,0.10914454277286136,0.12094395280235988,0.12094395280235988,0.12684365781710916,0.12979351032448377,0.12979351032448377,0.12979351032448377,0.12979351032448377,0.12979351032448377,0.13864306784660768,0.13864306784660768,0.1415929203539823,0.14749262536873156,0.1504424778761062,0.1504424778761062,0.1504424778761062
games,jdoc,gpt-4o-mini,9,14,16,18,19,19,21,23,25,26,27,28,29,29,31,32,32,33,33,33,0.02654867256637168,0.04129793510324484,0.0471976401179941,0.05309734513274336,0.05604719764011799,0.05604719764011799,0.061946902654867256,0.06784660766961652,0.07374631268436578,0.07669616519174041,0.07964601769911504,0.08259587020648967,0.0855457227138643,0.0855457227138643,0.09144542772861357,0.0943952802359882,0.0943952802359882,0.09734513274336283,0.09734513274336283,0.09734513274336283
games,jdoc,llama-3-2,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,0.0,0.0,0.0,0.0,0.0029498525073746312,0.0029498525073746312,0.0029498525073746312,0.0029498525073746312,0.0029498525073746312,0.0029498525073746312,0.0058997050147492625,0.0058997050147492625,0.0058997050147492625,0.0058997050147492625,0.0058997050147492625,0.008849557522123894,0.008849557522123894,0.011799410029498525,0.011799410029498525,0.011799410029498525
movies,extra,gemini,151,192,224,247,258,265,270,274,277,279,282,283,288,294,296,298,305,305,306,306,0.07119283356907119,0.09052333804809053,0.10561056105610561,0.11645450259311646,0.12164073550212164,0.12494106553512493,0.1272984441301273,0.12918434700612919,0.1305987741631306,0.13154172560113153,0.13295615275813297,0.13342762847713344,0.13578500707213578,0.13861386138613863,0.13955681282413956,0.1404997642621405,0.1438000942951438,0.1438000942951438,0.14427157001414428,0.14427157001414428
movies,extra,gpt-3-5,310,359,409,437,465,488,497,507,516,522,528,543,546,553,557,560,566,567,574,578,0.14615747289014616,0.16925978312116927,0.19283356907119284,0.20603488920320603,0.21923620933521923,0.23008015087223008,0.23432343234323433,0.23903818953323905,0.24328147100424327,0.24611032531824611,0.24893917963224893,0.256011315417256,0.25742574257425743,0.2607260726072607,0.2626119754832626,0.264026402640264,0.2668552569542669,0.26732673267326734,0.2706270627062706,0.2725129655822725
movies,extra,gpt-4o-mini,198,252,291,307,330,340,351,362,371,381,386,392,400,406,411,415,419,419,421,421,0.09335219236209336,0.1188118811881188,0.1371994342291372,0.14474304573314475,0.15558698727015557,0.1603017444601603,0.16548797736916548,0.17067421027817067,0.17491749174917492,0.17963224893917965,0.181989627534182,0.1848184818481848,0.1885902876001886,0.19141914191419143,0.19377652050919378,0.19566242338519566,0.19754832626119756,0.19754832626119756,0.1984912776991985,0.1984912776991985
movies,extra,llama-3-2,48,59,68,75,87,92,103,113,115,119,127,129,131,138,143,144,148,151,157,160,0.02263083451202263,0.027817067421027818,0.03206034889203206,0.03536067892503536,0.04101838755304102,0.04337576614804337,0.04856199905704856,0.053276756247053275,0.05421970768505422,0.056105610561056105,0.05987741631305988,0.06082036775106082,0.06176331918906176,0.06506364922206506,0.06742102781706742,0.06789250353606789,0.06977840641206978,0.07119283356907119,0.07402168788307402,0.07543611504007544
movies,jdoc,gemini,11,13,14,14,15,16,16,16,19,19,21,25,25,25,25,25,25,25,26,26,0.05238095238095238,0.06190476190476191,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.0761904761904762,0.0761904761904762,0.0761904761904762,0.09047619047619047,0.09047619047619047,0.1,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.12380952380952381,0.12380952380952381
movies,jdoc,gpt-3-5,26,32,36,37,39,40,41,43,43,44,44,44,45,45,45,45,45,45,45,45,0.12380952380952381,0.1523809523809524,0.17142857142857143,0.1761904761904762,0.18571428571428572,0.19047619047619047,0.19523809523809524,0.20476190476190476,0.20476190476190476,0.20952380952380953,0.20952380952380953,0.20952380952380953,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427
movies,jdoc,gpt-4o-mini,19,19,19,23,23,23,23,24,25,26,30,31,31,31,31,31,31,31,31,31,0.09047619047619047,0.09047619047619047,0.09047619047619047,0.10952380952380952,0.10952380952380952,0.10952380952380952,0.10952380952380952,0.11428571428571428,0.11904761904761904,0.12380952380952381,0.14285714285714285,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762
movies,jdoc,llama-3-2,2,2,2,3,3,4,4,4,4,4,4,4,4,5,6,7,8,8,8,8,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.014285714285714285,0.014285714285714285,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.023809523809523808,0.02857142857142857,0.03333333333333333,0.0380952380952381,0.0380952380952381,0.0380952380952381,0.0380952380952381
