domain,data.set,model,recall.1,recall.2,recall.3,recall.4,recall.5,recall.6,recall.7,recall.8,recall.9,recall.10,recall.11,recall.12,recall.13,recall.14,recall.15,recall.16,recall.17,recall.18,recall.19,recall.20,recall.1,recall.2,recall.3,recall.4,recall.5,recall.6,recall.7,recall.8,recall.9,recall.10,recall.11,recall.12,recall.13,recall.14,recall.15,recall.16,recall.17,recall.18,recall.19,recall.20,recall.1.fraction,recall.2.fraction,recall.3.fraction,recall.4.fraction,recall.5.fraction,recall.6.fraction,recall.7.fraction,recall.8.fraction,recall.9.fraction,recall.10.fraction,recall.11.fraction,recall.12.fraction,recall.13.fraction,recall.14.fraction,recall.15.fraction,recall.16.fraction,recall.17.fraction,recall.18.fraction,recall.19.fraction,recall.20.fraction,recall.1.fraction,recall.2.fraction,recall.3.fraction,recall.4.fraction,recall.5.fraction,recall.6.fraction,recall.7.fraction,recall.8.fraction,recall.9.fraction,recall.10.fraction,recall.11.fraction,recall.12.fraction,recall.13.fraction,recall.14.fraction,recall.15.fraction,recall.16.fraction,recall.17.fraction,recall.18.fraction,recall.19.fraction,recall.20.fraction
books,extra,gemini,8,13,15,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,8,13,15,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,0.07017543859649122,0.11403508771929824,0.13157894736842105,0.14035087719298245,0.14912280701754385,0.14912280701754385,0.14912280701754385,0.14912280701754385,0.14912280701754385,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.07017543859649122,0.11403508771929824,0.13157894736842105,0.14035087719298245,0.14912280701754385,0.14912280701754385,0.14912280701754385,0.14912280701754385,0.14912280701754385,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525
books,extra,gpt-4o-mini,14,18,22,22,22,22,23,23,23,24,26,26,26,26,26,26,26,26,26,26,14,18,22,22,22,22,23,23,23,24,26,26,26,26,26,26,26,26,26,26,0.12280701754385964,0.15789473684210525,0.19298245614035087,0.19298245614035087,0.19298245614035087,0.19298245614035087,0.20175438596491227,0.20175438596491227,0.20175438596491227,0.21052631578947367,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.12280701754385964,0.15789473684210525,0.19298245614035087,0.19298245614035087,0.19298245614035087,0.19298245614035087,0.20175438596491227,0.20175438596491227,0.20175438596491227,0.21052631578947367,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.22807017543859648
books,jdoc,gemini,1,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.013513513513513514,0.05405405405405406,0.06756756756756757,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.013513513513513514,0.05405405405405406,0.06756756756756757,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109
books,jdoc,gpt-4o-mini,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.08108108108108109,0.08108108108108109
games,extra,gemini,18,25,29,33,36,38,39,41,42,42,42,42,42,43,43,43,43,44,45,46,18,25,29,33,36,38,39,41,42,42,42,42,42,43,43,43,43,44,45,46,0.0400890868596882,0.0556792873051225,0.0645879732739421,0.07349665924276169,0.0801781737193764,0.08463251670378619,0.08685968819599109,0.09131403118040089,0.0935412026726058,0.0935412026726058,0.0935412026726058,0.0935412026726058,0.0935412026726058,0.0957683741648107,0.0957683741648107,0.0957683741648107,0.0957683741648107,0.09799554565701558,0.10022271714922049,0.10244988864142539,0.0400890868596882,0.0556792873051225,0.0645879732739421,0.07349665924276169,0.0801781737193764,0.08463251670378619,0.08685968819599109,0.09131403118040089,0.0935412026726058,0.0935412026726058,0.0935412026726058,0.0935412026726058,0.0935412026726058,0.0957683741648107,0.0957683741648107,0.0957683741648107,0.0957683741648107,0.09799554565701558,0.10022271714922049,0.10244988864142539
games,extra,gpt-4o-mini,35,50,55,63,64,70,75,76,80,81,81,82,82,83,84,85,85,87,87,87,35,50,55,63,64,70,75,76,80,81,81,82,82,83,84,85,85,87,87,87,0.0779510022271715,0.111358574610245,0.12249443207126949,0.1403118040089087,0.14253897550111358,0.155902004454343,0.16703786191536749,0.16926503340757237,0.17817371937639198,0.18040089086859687,0.18040089086859687,0.18262806236080179,0.18262806236080179,0.18485523385300667,0.1870824053452116,0.18930957683741648,0.18930957683741648,0.19376391982182628,0.19376391982182628,0.19376391982182628,0.0779510022271715,0.111358574610245,0.12249443207126949,0.1403118040089087,0.14253897550111358,0.155902004454343,0.16703786191536749,0.16926503340757237,0.17817371937639198,0.18040089086859687,0.18040089086859687,0.18262806236080179,0.18262806236080179,0.18485523385300667,0.1870824053452116,0.18930957683741648,0.18930957683741648,0.19376391982182628,0.19376391982182628,0.19376391982182628
games,jdoc,gemini,2,2,4,5,6,6,7,7,8,8,8,9,9,9,10,10,11,11,11,11,2,2,4,5,6,6,7,7,8,8,8,9,9,9,10,10,11,11,11,11,0.017699115044247787,0.017699115044247787,0.035398230088495575,0.04424778761061947,0.05309734513274336,0.05309734513274336,0.061946902654867256,0.061946902654867256,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07964601769911504,0.07964601769911504,0.07964601769911504,0.08849557522123894,0.08849557522123894,0.09734513274336283,0.09734513274336283,0.09734513274336283,0.09734513274336283,0.017699115044247787,0.017699115044247787,0.035398230088495575,0.04424778761061947,0.05309734513274336,0.05309734513274336,0.061946902654867256,0.061946902654867256,0.07079646017699115,0.07079646017699115,0.07079646017699115,0.07964601769911504,0.07964601769911504,0.07964601769911504,0.08849557522123894,0.08849557522123894,0.09734513274336283,0.09734513274336283,0.09734513274336283,0.09734513274336283
games,jdoc,gpt-4o-mini,3,5,6,8,9,9,11,12,14,15,15,15,15,15,16,17,17,18,18,18,3,5,6,8,9,9,11,12,14,15,15,15,15,15,16,17,17,18,18,18,0.02654867256637168,0.04424778761061947,0.05309734513274336,0.07079646017699115,0.07964601769911504,0.07964601769911504,0.09734513274336283,0.10619469026548672,0.12389380530973451,0.13274336283185842,0.13274336283185842,0.13274336283185842,0.13274336283185842,0.13274336283185842,0.1415929203539823,0.1504424778761062,0.1504424778761062,0.1592920353982301,0.1592920353982301,0.1592920353982301,0.02654867256637168,0.04424778761061947,0.05309734513274336,0.07079646017699115,0.07964601769911504,0.07964601769911504,0.09734513274336283,0.10619469026548672,0.12389380530973451,0.13274336283185842,0.13274336283185842,0.13274336283185842,0.13274336283185842,0.13274336283185842,0.1415929203539823,0.1504424778761062,0.1504424778761062,0.1592920353982301,0.1592920353982301,0.1592920353982301
movies,extra,gemini,61,82,92,99,103,105,108,112,113,114,115,116,118,121,122,122,125,125,125,125,61,82,92,99,103,105,108,112,113,114,115,116,118,121,122,122,125,125,125,125,0.08628005657708628,0.11598302687411598,0.13012729844413012,0.14002828854314003,0.1456859971711457,0.1485148514851485,0.15275813295615276,0.15841584158415842,0.15983026874115983,0.16124469589816123,0.16265912305516267,0.16407355021216408,0.1669024045261669,0.17114568599717114,0.17256011315417255,0.17256011315417255,0.1768033946251768,0.1768033946251768,0.1768033946251768,0.1768033946251768,0.08628005657708628,0.11598302687411598,0.13012729844413012,0.14002828854314003,0.1456859971711457,0.1485148514851485,0.15275813295615276,0.15841584158415842,0.15983026874115983,0.16124469589816123,0.16265912305516267,0.16407355021216408,0.1669024045261669,0.17114568599717114,0.17256011315417255,0.17256011315417255,0.1768033946251768,0.1768033946251768,0.1768033946251768,0.1768033946251768
movies,extra,gpt-4o-mini,87,114,133,136,146,152,156,161,167,169,171,174,176,178,178,179,180,180,181,181,87,114,133,136,146,152,156,161,167,169,171,174,176,178,178,179,180,180,181,181,0.12305516265912306,0.16124469589816123,0.18811881188118812,0.19236209335219237,0.2065063649222065,0.214992927864215,0.22065063649222066,0.22772277227722773,0.2362093352192362,0.23903818953323905,0.24186704384724186,0.24611032531824611,0.24893917963224893,0.25176803394625175,0.25176803394625175,0.2531824611032532,0.2545968882602546,0.2545968882602546,0.256011315417256,0.256011315417256,0.12305516265912306,0.16124469589816123,0.18811881188118812,0.19236209335219237,0.2065063649222065,0.214992927864215,0.22065063649222066,0.22772277227722773,0.2362093352192362,0.23903818953323905,0.24186704384724186,0.24611032531824611,0.24893917963224893,0.25176803394625175,0.25176803394625175,0.2531824611032532,0.2545968882602546,0.2545968882602546,0.256011315417256,0.256011315417256
