domain,llm,mmr,solved.1,solved.2,solved.3,solved.4,solved.5,solved.6,solved.7,solved.8,solved.9,solved.10,solved.11,solved.12,solved.13,solved.14,solved.15,solved.16,solved.17,solved.18,solved.19,solved.20,solved.1.fraction,solved.2.fraction,solved.3.fraction,solved.4.fraction,solved.5.fraction,solved.6.fraction,solved.7.fraction,solved.8.fraction,solved.9.fraction,solved.10.fraction,solved.11.fraction,solved.12.fraction,solved.13.fraction,solved.14.fraction,solved.15.fraction,solved.16.fraction,solved.17.fraction,solved.18.fraction,solved.19.fraction,solved.20.fraction
books,gemini,0.07872340425531914,9,17,20,22,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,0.047872340425531915,0.09042553191489362,0.10638297872340426,0.11702127659574468,0.12234042553191489,0.12234042553191489,0.12234042553191489,0.12234042553191489,0.12234042553191489,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.1276595744680851
books,gpt-3-5,0.19494378723802022,29,36,44,45,47,48,49,50,51,51,52,52,53,53,54,54,54,54,55,55,0.15425531914893617,0.19148936170212766,0.23404255319148937,0.2393617021276596,0.25,0.2553191489361702,0.26063829787234044,0.26595744680851063,0.2712765957446808,0.2712765957446808,0.2765957446808511,0.2765957446808511,0.28191489361702127,0.28191489361702127,0.2872340425531915,0.2872340425531915,0.2872340425531915,0.2872340425531915,0.2925531914893617,0.2925531914893617
books,gpt-4o-mini,0.10936510764338313,16,20,24,27,27,27,28,28,28,29,31,31,31,31,31,31,31,31,32,32,0.0851063829787234,0.10638297872340426,0.1276595744680851,0.14361702127659576,0.14361702127659576,0.14361702127659576,0.14893617021276595,0.14893617021276595,0.14893617021276595,0.15425531914893617,0.16489361702127658,0.16489361702127658,0.16489361702127658,0.16489361702127658,0.16489361702127658,0.16489361702127658,0.16489361702127658,0.16489361702127658,0.1702127659574468,0.1702127659574468
books,llama-3-2,0.049242424242424254,7,10,11,11,11,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,0.03723404255319149,0.05319148936170213,0.05851063829787234,0.05851063829787234,0.05851063829787234,0.06914893617021277,0.06914893617021277,0.06914893617021277,0.06914893617021277,0.06914893617021277,0.07446808510638298,0.07446808510638298,0.07446808510638298,0.07446808510638298,0.07446808510638298,0.07446808510638298,0.07446808510638298,0.07446808510638298,0.07446808510638298,0.07446808510638298
games,gemini,0.05174325458472082,20,27,33,38,42,44,46,48,50,50,50,51,51,52,53,53,54,55,56,57,0.03558718861209965,0.04804270462633452,0.05871886120996441,0.06761565836298933,0.07473309608540925,0.07829181494661921,0.08185053380782918,0.08540925266903915,0.08896797153024912,0.08896797153024912,0.08896797153024912,0.09074733096085409,0.09074733096085409,0.09252669039145907,0.09430604982206406,0.09430604982206406,0.09608540925266904,0.09786476868327403,0.099644128113879,0.10142348754448399
games,gpt-3-5,0.17068175323618068,72,98,107,124,128,135,139,142,145,145,146,147,147,148,149,149,150,151,151,151,0.12811387900355872,0.17437722419928825,0.1903914590747331,0.2206405693950178,0.2277580071174377,0.2402135231316726,0.24733096085409254,0.2526690391459075,0.2580071174377224,0.2580071174377224,0.2597864768683274,0.2615658362989324,0.2615658362989324,0.26334519572953735,0.26512455516014233,0.26512455516014233,0.2669039145907473,0.26868327402135234,0.26868327402135234,0.26868327402135234
games,gpt-4o-mini,0.0980363497712252,38,55,61,71,73,79,86,88,94,96,96,97,97,98,100,102,102,105,105,105,0.06761565836298933,0.09786476868327403,0.10854092526690391,0.12633451957295375,0.1298932384341637,0.14056939501779359,0.15302491103202848,0.15658362989323843,0.16725978647686832,0.1708185053380783,0.1708185053380783,0.17259786476868327,0.17259786476868327,0.17437722419928825,0.17793594306049823,0.18149466192170818,0.18149466192170818,0.18683274021352314,0.18683274021352314,0.18683274021352314
games,llama-3-2,0.014681544730477114,6,6,7,8,10,10,11,14,14,15,16,18,18,19,21,24,24,24,24,24,0.010676156583629894,0.010676156583629894,0.012455516014234875,0.014234875444839857,0.017793594306049824,0.017793594306049824,0.019572953736654804,0.02491103202846975,0.02491103202846975,0.026690391459074734,0.028469750889679714,0.03202846975088968,0.03202846975088968,0.033807829181494664,0.037366548042704624,0.042704626334519574,0.042704626334519574,0.042704626334519574,0.042704626334519574,0.042704626334519574
movies,gemini,0.11072168551160147,66,88,99,106,110,113,116,120,123,124,125,128,130,133,134,134,137,137,137,137,0.08494208494208494,0.11325611325611326,0.1274131274131274,0.1364221364221364,0.14157014157014158,0.14543114543114544,0.1492921492921493,0.15444015444015444,0.1583011583011583,0.15958815958815958,0.16087516087516088,0.16473616473616473,0.16731016731016732,0.17117117117117117,0.17245817245817247,0.17245817245817247,0.17631917631917632,0.17631917631917632,0.17631917631917632,0.17631917631917632
movies,gpt-3-5,0.21705093080590654,138,165,188,200,209,218,223,224,228,232,233,239,240,242,243,245,249,249,253,254,0.1776061776061776,0.21235521235521235,0.24195624195624196,0.2574002574002574,0.26898326898326896,0.2805662805662806,0.287001287001287,0.2882882882882883,0.29343629343629346,0.2985842985842986,0.29987129987129985,0.3075933075933076,0.3088803088803089,0.31145431145431146,0.3127413127413127,0.3153153153153153,0.3204633204633205,0.3204633204633205,0.3256113256113256,0.3268983268983269
movies,gpt-4o-mini,0.15792242386116778,95,122,141,147,157,163,167,173,179,182,186,189,191,193,193,194,195,195,196,196,0.12226512226512226,0.15701415701415702,0.18146718146718147,0.1891891891891892,0.20205920205920205,0.2097812097812098,0.21492921492921493,0.22265122265122264,0.23037323037323038,0.23423423423423423,0.23938223938223938,0.24324324324324326,0.24581724581724582,0.2483912483912484,0.2483912483912484,0.24967824967824967,0.25096525096525096,0.25096525096525096,0.25225225225225223,0.25225225225225223
movies,llama-3-2,0.04956428984513904,28,34,41,47,51,54,58,63,63,64,68,70,70,72,74,74,75,77,79,79,0.036036036036036036,0.043758043758043756,0.05276705276705277,0.06048906048906049,0.06563706563706563,0.0694980694980695,0.07464607464607464,0.08108108108108109,0.08108108108108109,0.08236808236808237,0.08751608751608751,0.09009009009009009,0.09009009009009009,0.09266409266409266,0.09523809523809523,0.09523809523809523,0.09652509652509653,0.0990990990990991,0.10167310167310167,0.10167310167310167
