domain,llm,solved.0,solved.1,solved.2,solved.3,solved.0.fraction,solved.1.fraction,solved.2.fraction,solved.3.fraction
books,gemini,164,5,5,14,0.8723404255319149,0.026595744680851064,0.026595744680851064,0.07446808510638298
books,gpt-3-5,133,18,16,21,0.7074468085106383,0.09574468085106383,0.0851063829787234,0.11170212765957446
books,gpt-4o-mini,156,8,12,12,0.8297872340425532,0.0425531914893617,0.06382978723404255,0.06382978723404255
books,llama-3-2,174,5,4,5,0.925531914893617,0.026595744680851064,0.02127659574468085,0.026595744680851064
games,gemini,505,19,9,29,0.8985765124555161,0.033807829181494664,0.01601423487544484,0.051601423487544484
games,gpt-3-5,411,53,40,58,0.7313167259786477,0.09430604982206406,0.0711743772241993,0.10320284697508897
games,gpt-4o-mini,457,37,31,37,0.8131672597864769,0.06583629893238434,0.05516014234875445,0.06583629893238434
games,llama-3-2,538,12,8,4,0.9572953736654805,0.021352313167259787,0.014234875444839857,0.0071174377224199285
movies,gemini,640,33,19,85,0.8236808236808236,0.04247104247104247,0.02445302445302445,0.1093951093951094
movies,gpt-3-5,523,69,42,143,0.6731016731016731,0.0888030888030888,0.05405405405405406,0.18404118404118405
movies,gpt-4o-mini,581,46,51,99,0.7477477477477478,0.059202059202059204,0.06563706563706563,0.1274131274131274
movies,llama-3-2,697,34,27,19,0.8970398970398971,0.043758043758043756,0.03474903474903475,0.02445302445302445
