thread_id	domain	type	source	request
127931	book	jdoc-annotated	librarything	Young girl living in city writes poetry. This is a book I read about 40 years ago. The girl lives in NYC or some other metropolis. They live near the ""El"", so they can't hear each other when the trains go by. Her father is a taxi driver, and has a bad heart. The girl likes to write, and enters a contest to win money to help her father have a vacation. The subject of the contest is a muffin mix. She writes a limerick about having baked muffins even though it was in the heat of summer. Any ideas?
57827	book	jdoc-annotated	librarything	Illustrated children's fiction book. There was a series of books I read when I was in elementary school, around 13 years ago. Aimed towards 2nd or 3rd grade reading level? It was, in general, one page of text, and one page of colored pictures. The pictures were quite vivid and brightly colored, and had a realistic style. The first page of each book would be all descriptions, I think. Talking about how beautiful the glade or whatever was. Setting the scene. I don't remember most of the plots. There was one about... horses, I believe. Maybe a horse that had no friends? I remember another one was about this cat that was very fat, and could not catch mice. One day a mouse comes along and helps the cat exercise, and the cat loses weight. It was a series, but the books did not share characters or anything. Like most children's books, they all had some sort of message. They were not that short. I don't think they had chapters, but they were not like those children books that only have one line of text per page. They were taller than a trade-paperback, and maybe around a centimeter thick. Thank you so much!
20772	book	jdoc-annotated	librarything	Name this short story about the Big Bang. I've been trying to track down this short story for a while, but can't remember/google either the author or title. It's about a person who suddenly wakes up and is trapped in his head, realizes he has no access to any of his outside senses, and in an attempt to stave off gradual insanity, he invents an elaborate world in his head, creating forces of 'good' and 'evil', constantly dueling it out, to ensure the story never ends. The last words of the story are 'Let there be light'. It's extremely short, probably only a few pages long. Sound familiar to anyone?
41717	book	jdoc-annotated	librarything	Lost literary fiction, recent. I can't remember the name of a book I read very recently, probably published in the last few years. The protagonist was a girl who moves from Tasmania to New York, where she gets a job at a huge used books store called, I think, The Arcade. The rest of the book is a mystery concerning a lost work by a famous 19th century author, which one specifically I've forgotten. Please help?
113809	book	jdoc-annotated	librarything	Multiracial adoption story, large family. I know it's a novel, and I think I read it about ten to twelve years ago. It was a book about a white couple who decided to adopt a child, then ended up adopting a double-digit number of them over the course of the book with no thought to nationality or special needs. I remember some specific scenes. One had the couple so poor that they were forced to eat a five-to-ten year-old decorative can of rattlesnake meat, opening it from the bottom so that they could wash it out and continue to display it. Also, there was a scene later in the book in which one of the couple's black daughters begged her parents to wash her skin until it was white like theirs. My mother or grandmother gave this to me, so I'm pretty sure it was intended for young adult or adult audiences. It had chapters, so I'm pretty sure it wasn't a children's book or teen fiction. The edition I read was paperback, with a tan cover. On the cover was artwork depicting several people from the shoulders up- can't remember how many. It was a standard-sized paperback, maybe the width of an adult's index or middle finger.
20193	book	jdoc-annotated	librarything	Ok, There's This Guy.... This Is A Really Rough 'Splanation, He Lives In This Big House Right, And Slowly But Surely He Starts To Experience Weird Hallucinations, Voices, Sounds, And I Think Eventually, He Opens A Gate To An Evil Dimension? It's An Older Book And It's Definitely Horror. I Think The Author Was British. Anyway, I'm Not Trying To Stump Anybody At All, But I Really Would Love To Know What The Title Is. Thank You.
68922	book	jdoc-annotated	librarything	YA Fantasy about a young boy and a maze, in a cave and possible war between clans?. Some time in the early 80's I read a book that I cannot remember the name of. Since it was so long ago, I can only remember bits and pieces of it. This is what I remember: It was about a young boy who was sent to his room (on his birthday, I think) and looked out his window and saw a huge maze that started at his window. He walked the maze to mountains and the next thing I remember was that he found himself in a cave for a long time. They (the clan) used animal hides to cover the entrance of the cave and I remember the character talking about coming out of the cave at some point and the light being extremely bright. I vaguely remember the clan he was with was going to war and it was up to him to save the world or something like that. Unfortunately that's all I remember! If any of this rings a bell to anyone, I would appreciate your response!
129136	book	jdoc-annotated	librarything	Kids' activity book about a little boy and sister in search for the legend of the giant turtle. Hi, I used to have this book when I was much younger (~1997) about a boy and his sister (I think Aztecan) who set off in search of a legendary giant turtle. It is more or less an activity book which had a tablet-like-bookmark (made of card, of course, with dimensions roughly ~10x10 cm). The corners of this tablet-like-bookmark had bees on them, and about 5 holes to see through. Throughout the book there were hidden things we had to find by placing the tablet on each page, aligning the bees on the tablet to various coloured bees on the pages. The correct orientation of the tablet would reveal these hidden objects. Usually each double page had 3 things we had to find: 1) Our next destination. 2) How to get there (either by road, river, bridge, etc.). 3) A small activity regarding that particular page. The book was not very long, about 30 pages or so but, it was very coulourfull. Enough to hide all the objects and markings. A few pages I can remember are: The Ravine, where a monster is in the ravine which you need to cross by walking on one of the two wooden bridges. One of the bridges has maggots in them and will break. So this is where you use the tablet, with the help of the bees, to know which bridge is safe to cross. Other pages include The Observatory, The Waterfall. Unfortunately I really can not remember the rest. This book was targeted at ages 5~9 (I guess). I would really appreciate it if anyone knew it. It was so much fun at the time, just wish to get my hands on it again and preserve it! The title sounds something like: Legend of the Giant Turtle or Search for the Giant Turtle or The Giant Turtle of ...
21768	book	jdoc-annotated	librarything	help finding a book. Perhaps 5 years ago I read a book (I think the book was newly out then) about this woman who finds a time travel portal on her grandparents (I think it was) farm in the mountains somewhere in the eastern U.S. She goes through and finds herself in old England. It seems as if she has to disguise herself as a boy. The portal on that side is in a church I believe. She finds the love of her life in old England. Travels back and forth . Discovers that one of her relatives had also done the time travel. If anyone has any suggestions for me I would certainly appreciate them.
3861	book	jdoc-annotated	librarything	Trying to identify a short story...would appreciate help. - Short story written in the mid to late 1980s IIRC - Focus is two high school boys who are friends. - immediate setting is a cafeteria/fast-food joint - wider setting are the high school kids living in an economically depressed US that is fighting an interminable war in Central America. Students wrestling with the pros and cons of joining up. - background themes of govt propaganda to sustain recruiting and morale when things are dismal. The war is televised/fictionalised. Certain GIs get their 15 minutes of fame as 'Johnny America' IIRC. I think the enemy is 'Pedro'. light infantry are equipped with missiles as section/platoon weapons. - story ends with some sort of fight in the cafeteria. one of the boys, and one of the girls decide to join up for their own reasons. - Not being able to remember anything else is making me a bit nutty. Hope I can track this down before the men in white jackets have to take me away.
114836	book	jdoc-annotated	librarything	SF short story(?), empire loses a war waiting for best technology. Very little info - this is something my dad read 'many' years ago (70s-80s? Possibly 50s-60s, probably not 90s or later). He remembers it as a short story, possibly in a magazine (he was reading Analog, Asimov, F&SF, etc at the time). A galactic empire is fighting a war. They have much better technology than their opponents. However, their opponents keep fighting while the empire keeps waiting for the next upgrade, not maintaining the (practically obsolete!) equipment they already have, pulling their ships back to update them...and they lose the war. No idea of title or author. Does this ring bells for anyone?
42904	book	jdoc-annotated	librarything	YA?, about a girl who was almost invisible. I read this book about 5 years ago (maybe. I'm really bad with estimating time). I'm pretty sure it is young adult, but it may have been for kids in middle school. The book was about this girl that was (i guess) so tiny or washed out that nobody saw her unless they knew exactly where she was. She ends up just living inside the walls of her house, and her family kind of forgets about her. She creates all sorts of hidden passageways to get from one place to another. Eventually she grows to be a teenager and meets people on the ouside for the first time....and I think she then goes to a halloween party? she definetly meets a boy. I think it was after she overheard her mother talking to a man about the house getting destroyed and her mom didn't want that to happen even though she wasn't quite sure why. I remember this one scene where the girl's mom arranged for a woman to come and meet her. Her mom put the girl on a chair next to a doll and the woman thought they were concerned about the doll or something....like she didn't even see the girl or realize that was who they were talking about. And then somehow the girl got stuck into the woman's purse and taken outside...and her mom was really upset. I think the girl had a sister, too. This might be way too much information or not enough. Let me know if you can think of the title or need more info!
111795	book	jdoc-annotated	librarything	YA fantasy: boy meets shadow people. It may be upper level children's instead. It's pre-1980s and is about a boy who goes to a house with a garden. When there he discovers and befriends shadow people. Anything that casts its shadow in the garden is then around for the shadow people's use. There are statues in the garden and a dolphin statue is important. I seem to think it's how he was able to see the shadow people but I'm not certain. There's a portion where he takes his birthday cake outside so the shadow people can have some too.
88491	book	jdoc-annotated	librarything	YA - Girl thrown from horse dies. This is virtually all I remember about the book. The narrator (a young girl) has a younger sister who is killed when she's thrown from a horse. There's a scene where the girl is shaken up to see her father crying after the accident. It may take place around the turn of the 20th century. I read it in the late '70s.
93190	book	jdoc-annotated	librarything	Poetry Anthology Book--Need Title, please. I donated a poetry anthology several years ago. It is one of the few items I have regretted donating. Can anyone help with a title, given these clues? Published prior to 2000, most likely published before 1995. I did not have a jacket, but hardcover was a shade of red. Had a thinner red ribbon marker attached. Pages were white, of closer to tissue-paper thinness. All poems were in English, as I recall. Spanned ancient times to the present (at time of publication). Had several ""shape"" poems toward end, including one shaped like the helix. Was about novel size and thickness. Possibly has a book publisher or book company name in the title. Many thanks. (Have done several online searches with ""shape poem"" and ""helix"" and have started looking through Amazon, using keyword--poetry anthologies, but no luck as of yet).
50119	book	jdoc-annotated	librarything	Girl in the Windmill?. Hey everyone! I have an extremely vague memory of a paperback book I read growing up in the '80s that featured a girl who would spend time in a windmill (or perhaps a boat or some other structure?) that was abandoned on her family's property (perhaps her grandmother's?). I seem to remember small details, like her hiking out to the windmill, bringing a picnic and sort of camping out there and reading books, which sounded like so much fun. This is extremely vague, I apologize, but if this rings a bell to anyone...
101634	book	jdoc-annotated	librarything	Sci fi first contact story humans recruited to fight alien war. Help find this title pls I've tried every search I can think of. The plot is there's a coalition of various aliens some of which resemble ostriches others cat like they are fighting another species that humans later nickname squids anyway they come to earth and discover humans who they realize have a knack for war and actually seem to enjoy it and the humans end up turning the tide of the war ect .. I read it at least 15 years ago so pre 1995 and I also remember that the only species of the coalition of aliens that actually could even stand being in combat were the cat like ones . Another detail I remember is that they made gold from the ocean surrounding their ship and used it to pay the first test subjects to go to combat or combat school. Pls help I would really like to find this book again and read the whole series this time. Thank you
73205	book	jdoc-annotated	librarything	children's ghost story - going to a party in a big house. Short story I read as a kid. Possibly I'm mixing it in my memory with other stories. In my memory, a big house shows up in the neighborhood, and holds a great party. It's everything a kid could want. Protagonist(s) want to go to the party, and do; they leave early, somehow, then discover the house was haunted or would have taken them away, or all the kids were ghost-kids, or something like that. I read this story in a collection, but can't place it. I had thought perhaps in ""Alfred Hitchcock's Ghostly Gallery"" or ""Alfred Hitchcock's Haunted Houseful"" but can't verify. I semi-recall another story that I think was in this collection (how many more vagaries can I include?) -- it somehow reminded me of the characters from The Wind in the Willows but involved, again, something spooky and out-of-character. -- lquilter
100990	book	jdoc-annotated	librarything	Childrens book from the late 70s called ""Things""???. Hi everyone I have a wonderful memory of my father reading me a book as a small child that I believe was called ""Things"" (not to be confused with ""Where the Wild Things Are""). I have been searching on the internet for ages but can't seem to find it. I was born in 1978 so I assume the book was either published in the 70s or the early 80s. It was mainly a picture book or weird imaginary pictures of weird hairy circular creatures called ""things"" .... each page had these fantastic pictures with wording like ""Big things and little things, Things in the moon, Shy Things and Loud Things"" etc.... Does this ring a bell for anyone? I would be so grateful if someone could point me to author & correct title. Thanks :) Nikki
115815	book	jdoc-annotated	librarything	sf all citizens monitored online, last untagged rebel is pursued for years. One last holdout has been evading capture and being ""branded"" by totalitarian government and made part of computerlike network. All others now are now monitored continually.The government can track their location and access all their communications and transactions. The citizens' only access to information is via this network, to which they are now connected via the ""brand"" Through his ingenuity and luck the protagonist has been one step ahead of the trackers for years. Final showdown takes place in the mountains, cold and snowing. I think helicopters are involved, and a betrayal by friend. I'd like to reread it, also other books by this author. Can you help? I read this about ten years ago, but don't know date of publication.
72921	book	jdoc-annotated	librarything	YA Novel, read in 1995, Post-Apocalyptic Reversion to Medieval Times. Premise is that everyone on earth suddenly becomes afraid of technology, and walks away from their cars, radios, etc. and forgets how they work. Protagonist is a girl, and I wanted to say it was called something like ""The Changes"", but I can't find anything like that online. Although searching for phrases like ""changes"" and ""afraid of technology"" are bound to produce every result but the one you had in mind! Does anyone else remember this one? The date might not be exact, but that's when I think I read it, give or take a few years.
63477	book	jdoc-annotated	librarything	novel, monk gathering St. Catherine's relics. Fiction I read this around 2000, it was absolutely not written after fall of 2001 since I read it before I went to Europe and I was looking for Catherine's Wheels in all the art while I was there thanks to this book. It was a novel, about a monk in the medieval period (I think, I'm suddenly unclear about this) who was seeking to gather together the relics of St. Catherine. Possibly ended in a hermitage in Alexandria. The monk could hear her scattered body parts talking to him, but his order did not feel that he should be doing this, so some other group is maybe trying to stop him or collect her before he does? I'm fuzzy on this. I don't think it was marketed as a supernatural book, or a religious book, or a crime thriller, but more just a story/novel. It may have had the word Translation/Translated in the title (not referring to translation of the book, but the religious term of translation in terms of the removal of relics). Arrgh, this is driving me nuts. Thanks to anyone who can help!
45761	book	jdoc-annotated	librarything	The gang of ????? Street"". I know this is just a long shot. Ages ago , when I was a kid (thirty yeras ago) I read a novel rated YA set in an England city ,( perhaps London perhaps not), in particular the story was set in a specific neighbourhood of that city, and I seem to remember the title was something like The gang of ?????street The story was about a gang of young boys and at least one girl(aged from 10 throug 12/13). A toddler, or may be a brother of one of the gang is kidnapped and the gang sets off to investigate. A member of the gang is a kind of genius, he has made up a radio on his own, a little car that goes with electricity and other things. It is set in the 70s Im quite sure the book is not part of any series. No The Secret Seven by Enid Blyton or the like Any help will be higly appreciate sorry for my broken English masgar
115749	book	jdoc-annotated	librarything	Boy has adventure in post-nuclear-apocalypse world. A children's book with amazing illustrations that I read in the mid/late 80s. A boy has an adventure, meets a king, and somehow gets a motorbike to start working. The pictures in the book include a memorable image of a ruined airport with a jumbo jet covered in vegetation, and it's clear that the people don't realize the purpose and meaning of the ruins of civilization around them.
109530	book	jdoc-annotated	librarything	Juvenile book, read 1940ish English children adventures on horseback. I'm looking for a book I read probably in the 1940's. It was by a British author and was about a group of children who had many adventures on horseback. I believe they lived in England and in one of the books they imagine they are in Persia. Thanks for your consideration.
53741	book	jdoc-annotated	librarything	Need help with name and author. I read a book many (10-15 or more?) years ago and I would like to read it again. I know that there was a woman spending time alone sorting through her life. She was in the northeast (Cape Cod? Nantucket?) - I think in a house on a beach. One distinguishing feature that I do remember is that she either had been to or was planning to attend the annual meeting of the Modern Language Association (MLA), I believe in New York City. So I think she was some variety of an academic. If you don't know that one, but know of others with similar characteristics (especially woman taking time by herself in a house on the beach to figure out who she is and where she is going), I would be interested in those too.
