row,thread_id,group,title,comment_count,comment_id,comment_rank,comment_timestamp,comment_user,comment_text,comment_authors,comment_works,solved,answer,librarything_id,notes
0,4242,Book talk,Librarian Mystery,4,4242-1,1,"Nov 21, 2006, 12:08am",librarymeg,"Hey, all! I'm a bookseller who's run into an interesting question that I can't answer. I have a customer who's looking for a book about a librarian who becomes a spy/courier. Since I am not only a lover of spy novels, but a library student, I would love to read this book! Is anyone out there familiar with it? I'd love the help. Thanks, fellow bibliophiles!",,,,,,
1,4242,Book talk,Librarian Mystery,4,4242-2,2,"Edited: Nov 26, 2006, 2:57pm",annabethblue,"Well, you've got me interested! I did a search in NoveList and found 30 results with the subject heading Librarian-detectives. You can go to you local public library website and get access to a research database called NoveList and search for books by genres and subjects and all sorts of cool stuff. The authors in the 30 results mentioned above are: Dereske, Jo Harris, Charlaine Meredith, D. R. (Doris R.) Abbott, Jeff Fisher, David E. Goodrum, Charles A. Harris, Charlaine Skom, Edith Peters, Elizabeth Hildick, E. W. Van Gieson, Judith Thomason, Cynthia Damsgaard, Shirley Corwin, C. R. Raichev, R. T. Stanley, J. B. I also found a book called Where agents fear to tread by Lewis, Roy Harley, which has the subject headings of 'spy fiction, english"" and ""librarians"" to name a few. Then, there is also the book The Club Dumas by Perez-Reverte. It's not really a spy librarian, but it's about book collectors and mystery and murder. I didn't really find too many results about spies, espionage, couriers, and librarians, but I didn't search for very long. :) I'll let you know if I come across anything! :)",peterselizabeth|abbottjeff|hildickew|corwinmiles|meredithdorisr|lewisroyharley|perezrevertearturo|harrischarlaine|damsgaardshirley|vangiesonjudith|dereskejo|goodrumcharlesa|thomasoncynthia|skomedith,1198820|8478,,,,
2,4242,Book talk,Librarian Mystery,4,4242-3,3,"Nov 27, 2006, 10:12am",bookmasterjmv,There's John Dunning's series which is about a cop-turned-bookseller. Kind of related. Very good series. Start with Booked to Die and continue on from there.,dunningjohn,35839,,,,
3,4242,Book talk,Librarian Mystery,4,4242-4,4,"Nov 28, 2006, 1:20am",librarymeg,"Thanks so much for the ideas! Even if they're not the one my customer mentioned, they sound great!",,,unsolved,,,
4,43960,Book talk,Trying to find the title/author of a book I once read...,5,43960-1,1,"Aug 23, 2008, 11:42am",neuroptik78,"I've tried searching on Amazon with what I believe the title to be ""After Dark"", but it gives too many results. I've tried many different search combinations, and still nothing. I had this book in paperback in 1995/1996. The cover was red and orange, with a female vampires face reflected off of water. It was about a vampire plague that has swept the world. There are survivors in one city trying to survive the organized vampire group. The end up defeated by a bacteria that destroys their bodies. Has anyone else come across this book? Who is the author? Many thanks to anyone who might be able to help!",,,,,,
5,43960,Book talk,Trying to find the title/author of a book I once read...,5,43960-2,2,"Aug 23, 2008, 12:03pm",SJaneDoe,It's not Sunglasses After Dark is it?,,45101,,,,
6,43960,Book talk,Trying to find the title/author of a book I once read...,5,43960-3,3,"Aug 23, 2008, 12:13pm",neuroptik78,"No, I own that one.",,,,,,
7,43960,Book talk,Trying to find the title/author of a book I once read...,5,43960-4,4,"Aug 23, 2008, 1:17pm",TadAD,"You might want to try this in the ""Name That Book"" forum since that's what they do there.",,,,,,
8,43960,Book talk,Trying to find the title/author of a book I once read...,5,43960-5,5,"Aug 23, 2008, 1:28pm",neuroptik78,"Thanks! I tried to search for the right one, but the search tool doesn't work very well.",,,unsolved,,,
9,92430,Name that Book,name of the author and title of the book please!,7,92430-1,1,"Jun 6, 2010, 1:01pm",viravi,"Long time ago, I have read somewhere in a book about a german prince who goes in search of his lost wealth, meets a girl who was sent by enemies for the same wealth. They fall in love and finally the prince says something like this, ' let us leave the living to servants.' can anyone help me with the title and the author? it is in the genre of the 'absurd' literature, i believe! thanks viravi",,,,,,
10,92430,Name that Book,name of the author and title of the book please!,7,92430-2,2,"Jun 13, 2010, 9:06pm",bspevack,"I'm looking for the title of a mystery book that may be by Ruth Rendall, but i can't find it. It is about an English housekeeper who takes care of an English manor. She lives in her own house on the property and has a secret daughter. I think it turns out the girl is the daughter of the Lord of the manor and the housekeeper killed somebody at some point to protect her daughter or something like that.",,,,,,
11,92430,Name that Book,name of the author and title of the book please!,7,92430-3,3,"Jun 13, 2010, 9:46pm",infiniteletters,"bspevack, you'll get better results if you start your own thread and put details in the title line. ""mystery, housekeeper with secret daughter"" Something like that.",,,,,,
12,92430,Name that Book,name of the author and title of the book please!,7,92430-4,4,"Jun 14, 2010, 1:39am",MarthaJeanne,"Besides, we try to avoid subject lines like this one. Please read the group description.",,,,,,
13,92430,Name that Book,name of the author and title of the book please!,7,92430-5,5,"Jun 16, 2010, 12:34am",kdcdavis,"bspevack, it is a Ruth Rendell novel--I like that one too. Unfortunately her titles are so random that I can never remember them either! I will check for you tomorrow and post again.",,,,,,
14,92430,Name that Book,name of the author and title of the book please!,7,92430-6,6,"Edited: Jun 16, 2010, 9:05am",betsytacy,I think kdcdavis is right that this is a Ruth Rendell novel. I think you're looking for Ruth Rendell's The Crocodile Bird.,,171178,,,,
15,92430,Name that Book,name of the author and title of the book please!,7,92430-7,7,"Jun 16, 2010, 5:42pm",kdcdavis,"Yes, The Crocodile Bird is the one I was thinking of. I hope this is the one you were looking for, bspevack; and viravi, I hope you find yours as well!",,171178,unsolved,,,
16,127931,Name that Book,Young girl living in city writes poetry,4,127931-1,1,"Edited: Dec 2, 2011, 8:26pm",fuzzi,"This is a book I read about 40 years ago. The girl lives in NYC or some other metropolis.  They live near the ""El"", so they can't hear each other when the trains go by. Her father is a taxi driver, and has a bad heart. The girl likes to write, and enters a contest to win money to help her father have a vacation.  The subject of the contest is a muffin mix. She writes a limerick about having baked muffins even though it was in the heat of summer. Any ideas?",,,,,,
17,127931,Name that Book,Young girl living in city writes poetry,4,127931-2,2,"Dec 2, 2011, 8:32pm",jjmcgaffey,"If she lived near the El, she was in Chicago - I don't think the train system is called that anywhere else. Don't know anything else, though. (It's short for Elevated Railway).",,,,,,
18,127931,Name that Book,Young girl living in city writes poetry,4,127931-3,3,"Dec 2, 2011, 8:47pm",fuzzi,"I figured it out, it was Dot for Short! Thanks for the input, anyway. :)",,992438,solved / confirmed,Frieda Friedman: Dot for Short,992438,solved by OP
19,127931,Name that Book,Young girl living in city writes poetry,4,127931-4,4,"Dec 3, 2011, 9:37am",golux1,"That's right, fuzzi. Great book!",,,,,,
20,47692,Central/Eastern European History,Histories of Jews in Eastern Europe or the Balkans,1,47692-1,1,"Oct 17, 2008, 10:00am",dlweeks,"My favorite book on this topic has to be Beyond Hitler's Grasp: The Heroic Rescue of Bulgaria's Jews. This might be because I have always been a bit partial to Bulgarian studies, but I think it shows the Jewish plight in an interesting light. In my mind it showed that not all of the countries allied with the Nazis were full of hateful people. This was a story of neighbor helping neighbor. Most importantly, it showed the government of Bulgaria's struggle to survive the Nazi war-machine but protect all of its citizens. Bar-Zohar does an excellent job with his research and I highly recommend this book to anyone wanting to know more about the Balkans, WWII, or even how some Jews were able to return to Palestine/Israel. Another book I enjoyed reading was The Bielski Brothers. It's a story of bravery, not just among the partisans but the people who took them in. It also delves into the humanity of the situation. It takes away the idea of numbers, which tend to numb the mind to what actually happened. The one thing that was a bit more disturbing about this book was the reaction of the Polish people. Some of them are so viciously anti-Semitic that it makes one sick. I have read a lot of Polish history and the reason Poland had such a large Jewish population at the time is due to it being historically Semite-friendly. Jews flocked to Poland to get away from oppressive regimes in France, England, Spain, Italy and so on. There are stories in this book about how average people stood up and risked their lives to help their neighbors.  What are some other readers' picks for this topic? Or anything remotely related I guess.",,320212|218389,not KI,,,topic
21,57827,Name that Book,Illustrated children's fiction book,4,57827-1,1,"Feb 14, 2009, 4:39pm",calantorntain,"There was a series of books I read when I was in elementary school, around 13 years ago. Aimed towards 2nd or 3rd grade reading level? It was, in general, one page of text, and one page of colored pictures. The pictures were quite vivid and brightly colored, and had a realistic style. The first page of each book would be all descriptions, I think. Talking about how beautiful the glade or whatever was. Setting the scene. I don't remember most of the plots. There was one about... horses, I believe. Maybe a horse that had no friends? I remember another one was about this cat that was very fat, and could not catch mice. One day a mouse comes along and helps the cat exercise, and the cat loses weight. It was a series, but the books did not share characters or anything. Like most children's books, they all had some sort of message. They were not that short. I don't think they had chapters, but they were not like those children books that only have one line of text per page. They were taller than a trade-paperback, and maybe around a centimeter thick.  Thank you so much!",,,,,,
22,57827,Name that Book,Illustrated children's fiction book,4,57827-2,2,"Feb 14, 2009, 5:05pm",SylviaO,"It sounds a little like the Serendipity series by Stephen Cosgrove. They were a series of books with animals for the main characters, and they all had some kind of moral message.",,,solved,Stepen Cosgrove: Serendipity (series),3546,"series
nseries/3546"
23,57827,Name that Book,Illustrated children's fiction book,4,57827-3,3,"Feb 15, 2009, 2:07pm",calantorntain,"Ah, that is it! Thank you!",,,confirmed,,,
24,57827,Name that Book,Illustrated children's fiction book,4,57827-4,4,"Feb 16, 2009, 1:44am",MerryMary,I think maybe Nitter Pitter was the horse title.,,1100539,,,,
25,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-1,1,"Sep 25, 2007, 12:06am",jschuur,"I've been trying to track down this short story for a while, but can't remember/google either the author or title. It's about a person who suddenly wakes up and is trapped in his head, realizes he has no access to any of his outside senses, and in an attempt to stave off gradual insanity, he invents an elaborate world in his head, creating forces of 'good' and 'evil', constantly dueling it out, to ensure the story never ends. The last words of the story are 'Let there be light'. It's extremely short, probably only a few pages long. Sound familiar to anyone?",,,,,,
26,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-2,2,"Edited: Sep 25, 2007, 2:20am",bluetyson,Not the first part but Asimov's The Last Question ends with 'Let there be Light' or close enough to. The Last Question,,1197915,,,,
27,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-3,3,"Sep 25, 2007, 3:03am",jschuur,"Yup, that's part of what makes it so hard to google. Definitely not that story though, but thanks for pointing that out.",,,,,,
28,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-4,4,"Sep 25, 2007, 5:10am",kiparsky,"Sounds very familiar, probably because it's a very tempting sort of a premise, especially for a short-short. I wouldn't put it past Zelazny, but I don't think it's one of his. (But see The Three Descents of Jeremy Baker, which I think was his last or close to his last published story for something similar) I would guess from that description that it's more recent than any of the real classic authors, probably 80s or 90s. Does that square with your sense of the story's style? I feel like I've read it, or something like it, but nothing comes to mind. Mabe if you can narrow it down a little, something will click.",,,,,,
29,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-5,5,"Sep 25, 2007, 2:01pm",jschuur,"I remember reading it a while back, probably at least in the mid 90ies, if not earlier. Big name author, from a short story anthology. That's all I can remember.",,,,,,
