thread_id	domain	type	source	request
206817134	movie	extra	imdb	Sci-Fi Movie Question. Hey I'm helping a friend to try to get the name of a movie that's sorta like Logan's Run. She discusses it in this thread here: http://movies.groups.yahoo.com/group/sciencefictiongroup/message/78020 It's not 'Wedlock', that movie was only mentioned because it had elements that would remind one of it but the movie in question is older than Wedlock, probably by about 10 years.
217689875	movie	extra	imdb	Action/Thriller movie, Prob. early 90s. I saw this movie like 10 years ago as a kid, it's about some family getting stalked by some maniac, I think the opening scene is set in a bar where we see the bad guy, iirc he had a beard or a moustache, and light brown/blonde hair. It's hard to remember specifics but I think shortly afterwards there's some kind of flashback involving a car (blue? possibly upside down) with a broken windshield that has blood on it. In the end this stalker dies from getting hit by a truck on the highway, after he'd been chasing the mother and daughter, at one point I think they escaped him in a dark van. A few other things I remember: The mother and daughter is home, and they hear the door closing, they think it's the father but it turns out to be the stalker, a fight happens, he is hit by a lamp and they escape. The stalker is watching the daughter at a swimming pool, don't remember much other than this. I've tried asking on other forums before without luck, the movie is probably old, could be from the 80s but I'd put my bet on early 90s. :D
223107459	movie	extra	imdb	I am In_theKnow. Ask me anything.. NA
223302474	movie	extra	imdb	OT (sorta) looking for a short story I read when I was younger. I don't remember much about it except it was very fairy-tale like, but fairly creepy. There were these two girls that lived with their mother and I THINK they were very disobedient. There's an old lady or a witch who shows up to their door one day and she has a music box that the girls want, I THINK (memory is so vague). And in the end I THINK one or both of them end up being put into the music box when the mother returns from a trip... http://myvideogamelog.blogspot.ca/
224202746	movie	extra	imdb	Two coming of age dramas.. 1) This is from the '90s, I think. It's about a mom and her 2 teen daughters. The oldest is always dating guys who convince her they're nice and she believes them. She meets a guy and this one seems to really be nice. They have sex and he dissapears, making her loose hope on love. Also, she gets pregnant. After having the baby, she finds out that the father died in an accident the day after they had sex. Meanwhile, the younger sister doesn't feel she's pretty. In one scene she even puts on an exagerated '80s look. She becomes friends with a latino neighbor. He doesn't like that look, because he ""likes her the way she is"". They eventually start dating. 2) This one I'm not sure. I think it could be from the '90s but also the early noughties. Anyway, it takes place in the '60s or '70s. 2 14-year-olds are friends and also curious about sex. They undress and get close while standing up. He gets all horny but she's like ""Stop! That's my bellybottom"". Anyway, they ask for advice to his mom, and she's so liberal that she gives gives them advices. They have sex and she gets pregnant. However, she still doesn't want to date him. She dates some other guy. Oh, and there's a Native-American. I think he's dating the mom or something.
224447344	movie	extra	imdb	80s TV series or Anne of Green Gables? SOLVED: Avonlea. In the mid-80s, my family would gather round the TV to watch some bucolic TV show, and I could've sworn it was a TV series, like Pippi Longstocking, because we would keep gathering to watch it. But maybe it was Anne of Green Gables (1985) that was just shown repeatedly on tv? The one scene that I really remember was a boy who was poor, in period clothing, so dark wool clothing, maybe a chapeau of some type, running through the woods in snow, running away from I think a girl and an older woman. He comes across a shack, like a witch's hut, in the woods and I have a vague remembrance that characters avoided that shack. But for some reason he goes in it and finds out the old lady there is nice? Does anyone recall if this scene is from Anne of Green Gables or maybe another 80s TV series that was centered around a little girl? Thanks!
224967500	movie	extra	imdb	Strange Funny Cartoon. Okay this isn't a really old cartoon, probably around 10-15 years old, I don't know exactly the name of the show, but it was a series and very hilarious because they used the same kind of humor that South Park uses. About that. So I've always remembered this one scene from this cartoon and want to know what it is. Here's what I remember...there was this ant and it was just a regular ant, but then a few scenes later there was a giant mutant ant, and then this huge mutant sized magnifying glass pops out over its head because it's destroying some food supply or garden or something. That's really all I can remember of it that I can write in words. The rest is just images, really. Does anyone know of the cartoon that contains this scene? Because it was just kinda funny how the ant was gobbling away at something and this huge magnifying glass just suddenly pops out over him and his eyes just look up at it while he's eating. Kinda slapstick style.
225014499	movie	extra	imdb	Name of Western with JACK ELAM. I can't think of the name of an old 50's or 60's or 70's western that has Jack Elam lying on a bench on the town boardwalk. He appears to be napping, but when a little girl pulls on his sleeve he opens one eye real big in a funny fashion. He calls the girl ""Rosebud."" Anyone know which movie that is? I went through the Jack Elam filmography here on IMDB but I couldn't figure out which title was the right one.
225053507	movie	extra	imdb	SOLVED-THX! (movie w/ 1 word title (girl's name), Mod mid-to-late 1960s). I once saw part of a European movie that was filmed in 1966 or later. I think it was following the life of a young female model, and I think she may have had two or three other models as roommates. The title was one word and it was the name of the main female character. It was filmed in color and is of the ""Mod"" style in fairly subtle way. I'm searching for it because the guy that was interested in the main girl drove a silver 1966 Bizzarrini GT 5300 Strada sports car throughout the movie. The movie I'm looking for isn't Darling; the title I need is a more common woman's name. (I've been searching every way I can think of but with no luck.) Thanks in advance.
225190373	movie	extra	imdb	A movie about teenagers. Another movie I forgot the name of. - A group of teenagers against one kid - some forest, or something with a lake - the kid dies because of an accident - the end is with a girl or boy or both locking themselves up in a bathroom and parents who want to kill them as well (or is this a different movie) I have the feeling I am mixing two movies up, but if you know both of them please do write them both! Thank you!
225272409	movie	extra	imdb	Looking for movie title from the 90's SOLVED. It is about a girl who jumped off a high diving board, while sitting on a horse, in a competition or at a some kind of show. I think there was something about a jump going wrong, so she ended up being blind... perhaps it was actually the horse that went blind, I'm not sure. I might be wrong, but I think the horse was called Sky or something like that. I know that it's from the 90's, because it was available in Blockbuster around 93.
225354219	movie	extra	imdb	Help with a movie I saw around 1986 or 1987 (Solved). I've been trying to find a movie that I watched on cable around 86 or 87. The only scene I remember is that there's a woman that was murdered in her home or apartment. I believe she was poisoned, she was drinking a glass of wine or something ( I think she was making dinner too) and fell to the floor trying to call someone for help on her phone. She died with the phone next to her on the floor. I also seem to remember that it had to do with doctors, but this I am not sure of. Thank you for any help!!
225490449	movie	extra	imdb	One picture, one movie. Hello, I'm looking for a movie. Here is a picture : http://www.pix-host.com/allimages/53896808.jpg Could you help me ? Thanks. Here is another picture : http://www.pix-host.com/allimages/60879079.jpg
225493603	movie	extra	imdb	several movies I do not know the name of. Hi. I am looking for 4 movie titles of movies I once seen on tv but forgot the title of. I only remember some scenes or the plot. the 1st movie: A black guy is watching tv in a bar, when a couple of white guys change the channel. He goes outside, puts down a fire extinguiser and goes back inside. He orders a alcoholic beverage and spits that over the white guys and light them on fire. the 2nd movie: A man gets tied up in his house by an assasin girl and she forces him to have sex with her. Then another assasin comes in and kills her. In the end scene he drives with a sport car to a plane and escapes with his girlfriend. the 3rd movie: Its a comedy. This movie follows people who work at a bank. Some try to rob the bank, but it all goes wrong. the 4th movie: A man follows directions a girl left for him. At the end he ends up at some sort of carnival and he meets her again. (I know it is not much, but its all I got about this movie) Hopefully you can help me with this, I would appreciate it verry much.
225495283	movie	extra	imdb	Need Title of Late 70's Cheesy Sci Fi Dinosaur Movie (SOLVED!). Stayed in a motel with my parents in the late 70's and watched a movie on TV about some people who traveled back in time to the dinosaur era, one of them may have been a Charles Bronson look-alike. Someone got eaten at the camp. Scared the heck out of me, but I was around seven or eight at the time and was afraid of any movie remotely scary. It may have even been a TV show. Would love to view it now through adult eyes. ""Seen one eat a rocking chair one time....""
225495681	movie	extra	imdb	SOLVED::::Shoots wild pig with handgun, eats raw liver. Protagonist is on the run in a forest or swamp. I'm not positive, but I think he's alone. He's either wounded or injured or both. He shoots a wild hog with a handgun and eats its liver. I thought it was Shooter (Mark Wahlberg), but I saw that on AMC last night and that scene wasn't in it. The movie I am thinking of is __________?
225503394	movie	extra	imdb	Foreign Film Inquiry. I am looking to find the title of a foreign film from the 70s that played on TCM many years ago. I believe it was a French film and it was about the day in the life of a middle-aged woman over the course of 3 days. This woman had a teenage son who slept in a sofa bed and they lived in a small apartment. I thought the woman's name was Daisy, but I could be wrong. I believe the actress who played this woman is now dead. I'm trying to provide as much information as possible to help figure this out. It was a very interesting film and I would like to see it again. Any ideas? Thank you!
225518310	movie	extra	imdb	Early 60s monster cheapie. I just took ""Troll Hunter"" out of the library, haven't watched it yet, and I'm trying to recall a similar giant snow monster from many years ago. I thought the title was ""Snow Beast"" but can't find a match in my reference books or on the IMDb. 1960 to 1965, very low budget and possibly Danish, and I recall a climax with this giant white yeti-like creature smashing up what I think was a ski chalet.
225538095	movie	extra	imdb	Movie where they open a fast food store in small town.... Hey guys, I just had this this thought about a movie I saw a while ago. I can't really remember too much about it, might have been a dark comedy perhaps. It's set in a small town and there is a large fast food chain that opens a restaurant there and one of the main character's friends/family members goes to work there, and he's all excited about it. It's not one of the main plot points, just something that stuck with me. Thanks for any help.
225546408	movie	extra	imdb	funny courtroom scene: typist typing her abuse. Hi there, I have a film scene in my mind but can't place the film. I believe its a comedy film with this particular scene in a courtroom. Someone (lets assume it's the main character) is being cross examined and the typist is busy typing the conversation. The character then turns to the typist and says something like ""you're not going to type that, are you?"". She remains silent and, as is her duty, keeps typing. The character then says again something like ""are you serious?"" and she keeps typing while appearing threatened by the character. In fact, I think the person then starts handling the ticker tape and reading what she has been typing. Anyway, that's about all I can remember. I expect it is a film over 10 years. Can anyone help me out and jog my memory? Better still, link to a youtube clip?
225546425	movie	extra	imdb	What is the name of this bank heist comedy? SOLVED!. I think late 80's or early 90's? This guy get's out of prison and get's 3 or 4 of his con buddies to meet him at a farm house to plan a bank robbery. Like Ocean's Eleven only these guys are pretty much inept. Thanks.
225547647	movie	extra	imdb	help a guy out :). I have no clue what it is as I haven't seen it in a few years but it's a movie based in either the mate 70's or 80's which involves this man that shoots these metal tubes out of himself and drains people of their life...I know it sounds weird but I need to k ow it..it's cool
225548811	movie	extra	imdb	[SOLVED] Slapstick comedy about a theatre play. Hi, I'm looking for a comedy film about a play. I believe a veteran British actor played the director of the play, and everything that could have gone wrong did go wrong. The sitcom-style play turned into a farce and by the end the audience was loving it even though it was a shambles. I think the play became a hit for the director. I think I've only seen the last half hour and would like to see the full film. Solved, thanks to TOASTnJAM: Noises Off. [b]I'm a doctor not a soldier, damn it!
225550620	movie	extra	imdb	What movie is this music from?. From the 1999 Oscar In Memoriam. If anyone knows the source of it please post the title of the film here. http://www.youtube.com/watch?v=kTmRzO_8buU
