row,thread_id,group,title,comment_count,comment_id,comment_rank,comment_level,comment_level_rank,comment_timestamp,comment_user,comment_text,comment_links,solved,answer,IMDB_id,notes
0,226786098,I Need to Know,P is for Pain,6,226786098,1,0,1,Thu Mar 6 2014 16:17:37,ur51181539,"Looking for a romance film from the 90's, maybe made for TV ... British period piece, feel of, say, Mansfield Park or Gosford Park ... there is a piano theme running through it, starting with the past-debutante-age pianist playing the ditty ""A is for the Apples that etc etc"" and then some scenes, and then ""B is for the etc etc"" with a failed romance going on and the film finally ending on ""P is for the Pain"" ... anybody??  John",,,,,
1,226786098,I Need to Know,P is for Pain,6,226805448,2,1,1,Fri Mar 7 2014 05:41:28,ur1174539,"Sounds like White Mischief (1988) to me.   It's about a bunch of British ex-pats in Kenya during WWII during which an army officer has an affair with another man's wife.   One of the characters in the movie sings this song, then it's repeated over the final credits.  afulltankofgas.com moviemoviesite.com",,solved,White Mischief (1987),tt0094317,Year mentioned in post is incorrect
2,226786098,I Need to Know,P is for Pain,6,226805801,3,2,1,Fri Mar 7 2014 05:57:05,ur51181539,"Wow  I hope that you're right!  This song has been an annoying morsel of ear candy for about 20 years ... would love to floss it away ... now I've just got to rustle up a copy from my local Film Buff outlet, or from Amazon if it comes to that ... thanks  John",,confirmed,,,
3,226786098,I Need to Know,P is for Pain,6,226807598,4,3,1,Fri Mar 7 2014 07:13:00,ur5305289,Here's the full movie - the whole song/credits starts at 1:39:24 http://youtu.be/WBK_9JAJrDE?t=1h39m24s,,,,,
4,226786098,I Need to Know,P is for Pain,6,226809678,5,4,1,Fri Mar 7 2014 08:25:39,ur51181539,Wow!  You da gal!  Thx  John,,,,,
5,226786098,I Need to Know,P is for Pain,6,226810125,6,5,1,Fri Mar 7 2014 08:41:30,ur5305289,No Problem,,,,,
6,229066942,I Need to Know,Soldier looking for fathers trinket. Unsolved.,6,229066942,1,0,1,Tue Apr 29 2014 21:33:17,ur21360621,"I saw this on TV many years ago. The scene I remember involved a soldier looking for a very important trinket or bracelet his father gave him. A fellow soldier warned him against this as they were supposed to be doing something else, but the soldier insisted that he must find it as it.  a drill sergeant came in and started to berate him. the soldier tried to explain the  situation to the sergeant, but the sergeant just yelled at him and insulted his father calling him a no good piece of crap or something along the lines",,,,,
7,229066942,I Need to Know,Soldier looking for fathers trinket. Unsolved.,6,229070404,2,1,1,Tue Apr 29 2014 23:29:07,ur14326876,I recall that scene but it's been a long time since it seen it.  The D.I. (1957)?? http://www.imdb.com/title/tt0050283/reference  I Don't trust atoms. They make up everything,http://www.imdb.com/title/tt0050283/,,,,
8,229066942,I Need to Know,Soldier looking for fathers trinket. Unsolved.,6,229073999,3,2,1,Wed Apr 30 2014 02:29:15,ur21360621,"No, I recall it being more recent than that. like in the 90s.",,,,,
9,229066942,I Need to Know,Soldier looking for fathers trinket. Unsolved.,6,229093729,4,1,2,Wed Apr 30 2014 13:02:04,ur14305134,"Dammit I know this! lol But, I'm blanking on the title too. Just replying to provide a bump and to put a placeholder so I can come back and see if an answer has been provided. I know I'll be doing a major facepalm when I see that answer too. lol  It'll be like Luke Duke and the other guy. Really? Yeah. NO!",,,,,
10,229066942,I Need to Know,Soldier looking for fathers trinket. Unsolved.,6,229106003,5,2,2,Wed Apr 30 2014 18:09:55,ur21360621,Bump,,,,,
11,229066942,I Need to Know,Soldier looking for fathers trinket. Unsolved.,6,229125087,6,3,1,Thu May 1 2014 06:39:34,ur21360621,Bump,,unsolved,,,
12,226108402,I Need to Know,Kids at concert -- one called out in front of the crowd with video,3,226108402,1,0,1,Tue Feb 18 2014 20:36:43,ur3583668,"There was some movie I saw as a kid in the 90's with some kid doing a sleezy thing caught on camera.  The teacher complains she doesn't think the music is appropriate, then video footage (I think from a child's parent's camera) is shown on the stage and reveals the bad kid...with the musician calling the kid out in song.    It ends with one kid's dad's filming everything in hopes of getting funny footage for something like AFV.  He misses something big at the end due to a dead battery.    Matt S.",,,,,
